,route_long_name,g_trip_headsign,route_id,route_short_name,direction_id,variation_route_id,first_stop_id,last_stop_id,first_stop_name,last_stop_name,num_stops,first_stop_point,last_stop_point
BR40,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5236801,Galway Tech Park,Connacht Rugby,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.0382948105457 53.2786901615763)
BR41,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5221101,Galway Tech Park,Salthill Park,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.07901743408459 53.2582955027338)
BR42,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5220701,Galway Tech Park,Salthill Road Lower,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.06915849483996 53.2668325708727)
BR43,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5221201,Galway Tech Park,Dalysfort Road,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.08001854601089 53.2599581150869)
BR44,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5235401,Galway Tech Park,Rahylin Glebe,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.00723999587407 53.2805922219096)
BR45,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5235201,Galway Tech Park,Sliabh Rua,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.00168646616938 53.2835778841625)
BR46,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5236901,Galway Tech Park,Yeats College,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.04155294449566 53.2763969103634)
BR47,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5243601,Galway Tech Park,Forster Street,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.04655479215098 53.2749151230331)
BR48,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5235601,Galway Tech Park,Ballybane Centre,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.01115353978336 53.2850258505979)
BR49,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5236601,Galway Tech Park,Wellpark Retail,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.03184272352855 53.282871400347)
BR50,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B522331,Galway Tech Park,Eyre Square,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.04884707532921 53.2736187626422)
BR51,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5236301,Galway Tech Park,Parnell Avenue,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.01842476335889 53.28618626714)
BR52,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5236501,Galway Tech Park,ATU Galway Cluain Mhuire,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.02634549755678 53.2843927771652)
BR53,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5234901,Galway Tech Park,Ballybrit Industrial Estate,37,POINT (-8.98686582677608 53.2990249478803),POINT (-9.00221135638492 53.2887052846313)
BR54,Eyre Square - Salthill,Dr. Mannix Road,401,401,0,4023_65528,8460B6355601,8460B5234801,Galway Tech Park,Ballybrit Heights,24,POINT (-8.98686582677608 53.2990249478803),POINT (-8.99785800512348 53.2898292638969)
BR55,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5203201,Bóthar na Trá GAA,Monivea Road,38,POINT (-9.08718605510546 53.2636227890292),POINT (-8.98875494413074 53.2911812900637)
BR56,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B555431,Bóthar na Trá GAA,Parkmore Road,38,POINT (-9.08718605510546 53.2636227890292),POINT (-8.98720036743283 53.2992199017826)
BR57,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5234301,Bóthar na Trá GAA,Ballybrit Crescent,38,POINT (-9.08718605510546 53.2636227890292),POINT (-8.98602347345801 53.2969738046725)
BR58,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5233501,Bóthar na Trá GAA,Gortcam,38,POINT (-9.08718605510546 53.2636227890292),POINT (-9.00220677896085 53.2859461891196)
BR59,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B522301,Bóthar na Trá GAA,Scoil Éinde Boys NS,38,POINT (-9.08718605510546 53.2636227890292),POINT (-9.08315723300364 53.2643514959341)
BR60,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5233601,Bóthar na Trá GAA,Glenavon Drive,38,POINT (-9.08718605510546 53.2636227890292),POINT (-9.00375302551088 53.287290283756)
BR61,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5233201,Bóthar na Trá GAA,Walter Macken Road,38,POINT (-9.08718605510546 53.2636227890292),POINT (-9.01018633545747 53.2828051676447)
BR62,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5233901,Bóthar na Trá GAA,Ballybrit Heights,38,POINT (-9.08718605510546 53.2636227890292),POINT (-8.9982922577182 53.289798667575)
BR63,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5233401,Bóthar na Trá GAA,Béal Srutha,38,POINT (-9.08718605510546 53.2636227890292),POINT (-9.00369250507646 53.2827880998927)
BR64,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5234201,Bóthar na Trá GAA,Ballybrit Crescent,38,POINT (-9.08718605510546 53.2636227890292),POINT (-8.98430476310601 53.2933391238694)
BR65,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5222801,Bóthar na Trá GAA,Fr Griffin Avenue,16,POINT (-9.08718605510546 53.2636227890292),POINT (-9.06217534634945 53.2675420830888)
BR66,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522171,8460B5222001,Bóthar na Trá GAA,Ladies Beach,16,POINT (-9.08718605510546 53.2636227890292),POINT (-9.08591684645471 53.257900321649)
BR67,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221801,8460B555431,Galway Tennis Club,Parkmore Road,38,POINT (-9.08939731721415 53.2627487912654),POINT (-8.98720036743283 53.2992199017826)
BR68,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221801,8460B5203201,Galway Tennis Club,Monivea Road,38,POINT (-9.08939731721415 53.2627487912654),POINT (-8.98875494413074 53.2911812900637)
BR69,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221801,8460B5233501,Galway Tennis Club,Gortcam,38,POINT (-9.08939731721415 53.2627487912654),POINT (-9.00220677896085 53.2859461891196)
BR70,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221801,8460B5234201,Galway Tennis Club,Ballybrit Crescent,38,POINT (-9.08939731721415 53.2627487912654),POINT (-8.98430476310601 53.2933391238694)
BR71,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221801,8460B5234301,Galway Tennis Club,Ballybrit Crescent,38,POINT (-9.08939731721415 53.2627487912654),POINT (-8.98602347345801 53.2969738046725)
BR72,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221801,8460B5222901,Galway Tennis Club,Fr Griffin Road,16,POINT (-9.08939731721415 53.2627487912654),POINT (-9.05810829891503 53.2685758546828)
BR73,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221901,8460B555431,Diving Board,Parkmore Road,38,POINT (-9.09002793183245 53.2574853292682),POINT (-8.98720036743283 53.2992199017826)
BR74,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221901,8460B5245001,Diving Board,Merchants Road,38,POINT (-9.09002793183245 53.2574853292682),POINT (-9.04877523840304 53.2731340714005)
BR75,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221901,8460B5203201,Diving Board,Monivea Road,38,POINT (-9.09002793183245 53.2574853292682),POINT (-8.98875494413074 53.2911812900637)
BR76,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221901,8460B5222501,Diving Board,Devon Park,38,POINT (-9.09002793183245 53.2574853292682),POINT (-9.0722835384968 53.2653125835027)
BR77,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5221901,8460B5234301,Diving Board,Ballybrit Crescent,38,POINT (-9.09002793183245 53.2574853292682),POINT (-8.98602347345801 53.2969738046725)
BR78,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5222001,8460B555431,Ladies Beach,Parkmore Road,38,POINT (-9.08591684645471 53.257900321649),POINT (-8.98720036743283 53.2992199017826)
BR79,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5222001,8460B5234301,Ladies Beach,Ballybrit Crescent,38,POINT (-9.08591684645471 53.257900321649),POINT (-8.98602347345801 53.2969738046725)
BR80,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5222001,8460B5233601,Ladies Beach,Glenavon Drive,38,POINT (-9.08591684645471 53.257900321649),POINT (-9.00375302551088 53.287290283756)
BR81,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B5222101,8460B555431,Salthill Park,Parkmore Road,38,POINT (-9.07894771302303 53.2585028464922),POINT (-8.98720036743283 53.2992199017826)
BR82,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5232801,Scoil Éinde Boys NS,Monivea Road,38,POINT (-9.08315723300364 53.2643514959341),POINT (-9.02217062206093 53.2866665030772)
BR83,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B555431,Scoil Éinde Boys NS,Parkmore Road,38,POINT (-9.08315723300364 53.2643514959341),POINT (-8.98720036743283 53.2992199017826)
BR84,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5234301,Scoil Éinde Boys NS,Ballybrit Crescent,38,POINT (-9.08315723300364 53.2643514959341),POINT (-8.98602347345801 53.2969738046725)
BR85,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5233801,Scoil Éinde Boys NS,Ballybrit Industrial Estate,38,POINT (-9.08315723300364 53.2643514959341),POINT (-9.00220904313751 53.2886064426141)
BR86,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5234201,Scoil Éinde Boys NS,Ballybrit Crescent,38,POINT (-9.08315723300364 53.2643514959341),POINT (-8.98430476310601 53.2933391238694)
BR87,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5233201,Scoil Éinde Boys NS,Walter Macken Road,38,POINT (-9.08315723300364 53.2643514959341),POINT (-9.01018633545747 53.2828051676447)
BR88,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5203201,Scoil Éinde Boys NS,Monivea Road,38,POINT (-9.08315723300364 53.2643514959341),POINT (-8.98875494413074 53.2911812900637)
BR89,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5304201,Scoil Éinde Boys NS,An Luasán,38,POINT (-9.08315723300364 53.2643514959341),POINT (-8.99289186666549 53.2910570476192)
BR90,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5332901,Scoil Éinde Boys NS,McDermott Avenue,38,POINT (-9.08315723300364 53.2643514959341),POINT (-9.01798394157553 53.2859383829993)
BR91,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5222601,Scoil Éinde Boys NS,St Mary's Avenue,38,POINT (-9.08315723300364 53.2643514959341),POINT (-9.06866995641394 53.2670796128385)
BR92,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5233501,Scoil Éinde Boys NS,Gortcam,38,POINT (-9.08315723300364 53.2643514959341),POINT (-9.00220677896085 53.2859461891196)
BR93,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5233401,Scoil Éinde Boys NS,Béal Srutha,38,POINT (-9.08315723300364 53.2643514959341),POINT (-9.00369250507646 53.2827880998927)
BR94,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5233901,Scoil Éinde Boys NS,Ballybrit Heights,38,POINT (-9.08315723300364 53.2643514959341),POINT (-8.9982922577182 53.289798667575)
BR95,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5232501,Scoil Éinde Boys NS,Loyola Park,38,POINT (-9.08315723300364 53.2643514959341),POINT (-9.03655665017521 53.2799815004188)
BR96,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5332601,Scoil Éinde Boys NS,Galway Comm College,38,POINT (-9.08315723300364 53.2643514959341),POINT (-9.03285966791184 53.2827547476352)
BR97,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5232401,Scoil Éinde Boys NS,Connacht Rugby,38,POINT (-9.08315723300364 53.2643514959341),POINT (-9.03778294020124 53.2792248767453)
BR98,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5232701,Scoil Éinde Boys NS,Well Park Estate,38,POINT (-9.08315723300364 53.2643514959341),POINT (-9.02786365767329 53.2839123553479)
BR99,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5233101,Scoil Éinde Boys NS,Ballybane Centre,38,POINT (-9.08315723300364 53.2643514959341),POINT (-9.01176930389854 53.2863327909582)
BR100,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5233001,Scoil Éinde Boys NS,Monivea Park,38,POINT (-9.08315723300364 53.2643514959341),POINT (-9.01532546375722 53.2889358812124)
BR101,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5233301,Scoil Éinde Boys NS,Castlepark Road,38,POINT (-9.08315723300364 53.2643514959341),POINT (-9.00638330123802 53.2811476873931)
BR102,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5233601,Scoil Éinde Boys NS,Glenavon Drive,38,POINT (-9.08315723300364 53.2643514959341),POINT (-9.00375302551088 53.287290283756)
BR103,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5232101,Scoil Éinde Boys NS,Forster Court,38,POINT (-9.08315723300364 53.2643514959341),POINT (-9.04679693115031 53.2762341542291)
BR104,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5222501,Scoil Éinde Boys NS,Devon Park,16,POINT (-9.08315723300364 53.2643514959341),POINT (-9.0722835384968 53.2653125835027)
BR105,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B523201,Scoil Éinde Boys NS,Eyre Square East,16,POINT (-9.08315723300364 53.2643514959341),POINT (-9.04861489650022 53.2745465134057)
BR106,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5222701,Scoil Éinde Boys NS,Lios Ealtan,16,POINT (-9.08315723300364 53.2643514959341),POINT (-9.06612181625675 53.2682977600793)
BR107,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5222001,Scoil Éinde Boys NS,Ladies Beach,16,POINT (-9.08315723300364 53.2643514959341),POINT (-9.08591684645471 53.257900321649)
BR108,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5245001,Scoil Éinde Boys NS,Merchants Road,16,POINT (-9.08315723300364 53.2643514959341),POINT (-9.04877523840304 53.2731340714005)
BR109,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5222901,Scoil Éinde Boys NS,Fr Griffin Road,16,POINT (-9.08315723300364 53.2643514959341),POINT (-9.05810829891503 53.2685758546828)
BR110,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5228201,Seacrest,Merlin Park Hospital,42,POINT (-9.11286924465058 53.2621095988708),POINT (-8.99416106084898 53.2772418198186)
BR111,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5227901,Seacrest,Dawn Dairies,42,POINT (-9.11286924465058 53.2621095988708),POINT (-9.01363089849366 53.2769071495497)
BR112,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5227201,Seacrest,Renmore Park,42,POINT (-9.11286924465058 53.2621095988708),POINT (-9.02381018226681 53.2768291755115)
BR113,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5228001,Seacrest,Merlin Hospital Gate,42,POINT (-9.11286924465058 53.2621095988708),POINT (-9.00307788775328 53.2763942287523)
BR114,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5228101,Seacrest,ATU Galway City,42,POINT (-9.11286924465058 53.2621095988708),POINT (-9.0099941515734 53.2771986429052)
BR115,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5226901,Seacrest,The G Hotel,42,POINT (-9.11286924465058 53.2621095988708),POINT (-9.03186113484134 53.28114565287)
BR116,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5227801,Seacrest,Ballyloughane Road,42,POINT (-9.11286924465058 53.2621095988708),POINT (-9.01459029781624 53.2743645341269)
BR117,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5227701,Seacrest,Fushia Drive,42,POINT (-9.11286924465058 53.2621095988708),POINT (-9.01607087343377 53.2729408995782)
BR118,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5226201,Seacrest,Prospect Hill,42,POINT (-9.11286924465058 53.2621095988708),POINT (-9.04673596490511 53.2774210338678)
