,building_name,osm_id,building_type,latitude,longitude
B139,Clifton House,215136080,building,53.28020910334457,-9.078856205917784
B140,Clinical Science Institute,133779943,building,53.27536044967244,-9.066307201644324
B141,Clinical and Translational Research Facility,793558315,building,53.27542331194154,-9.065827677715466
B142,Club House,211747962,building,53.25949642230808,-9.095427204230667
B143,Coachman Apartments,211754709,building,53.270451684528624,-9.056768135058922
B144,Colonial Buildings,162456561,building,53.274190677439236,-9.051413372000935
B145,Columban Hall,133779947,building,53.268680350000004,-9.062624000000001
B146,Comer Stand,161294553,building,53.28426711053964,-9.056753610261277
B147,Commerce House,152105445,building,53.27067596214038,-9.052956841746854
B148,Commercial Boat Club,290091839,building,53.27844877881795,-9.053833190256734
B149,Computer Science Building,211906273,building,53.28021080453697,-9.058599738620895
B150,Connacht Hotel Galway,160822122,building,53.28003963436217,-9.021388214368999
B151,Connacht Rugby Gym,219998449,building,53.27993052289123,-9.039189880624427
B152,Connacht Rugby Offices,159896542,building,53.27966646750665,-9.039904274825252
B153,Coolavalla B&B,135111059,building,53.274195122127885,-9.063274453979394
B154,Cope Galway - Corrib Day Centre,211896065,building,53.279737399999995,-9.065733950000002
B155,Corbett Court,162462588,building,53.273809175732275,-9.050630668130877
B156,Corporate House,161453027,building,53.291012573143256,-9.004011332778788
B157,Corrib House,139422908,building,53.27467825000001,-9.089189750000001
B158,Corrib Shopping Centre,162373254,building,53.27598082191045,-9.050295926938679
B159,County Bar,176162235,building,53.29823232833435,-8.998363561100112
B160,County Club,211939505,building,53.274327760033174,-9.0560715177579
B161,Cregal Art,160956416,building,53.288289422431816,-9.015506731314513
B162,Crescent Court,179423821,building,53.2671136765067,-9.060640305832436
B163,Croí West Of Ireland Cardiac Foundation,188446668,building,53.28407474826877,-9.068831259714981
B164,Currys,78474068,building,53.281422481438334,-9.049389878933393
B165,Curtiss-Wright,79232364,building,53.30136047031334,-8.995271645252712
B166,Custom House,870981421,building,53.270756922934,-9.053539307857548
B167,Cé na Mara,176649365,building,53.27039730615764,-9.048072197968605
B168,Céim Eile Day Centre,161240235,building,53.27895352202228,-9.002954271773074
B169,Cúirt Eigis,161591557,building,53.280778350544814,-9.00924749821284
B170,Cúirt na hAbhann,161443580,building,53.286466715463696,-9.039194805263588
B171,DJM House,161384902,building,53.28649045,-9.03858615
B172,Dalton House,161484578,building,53.28941171685297,-9.00004690341913
B173,Data Science Institute,25745017,building,53.28989327336846,-9.074221715253094
B174,Diabetes & Endocrinology Unit,2202188,building,53.27836240360875,-9.068010698568928
B175,Dialysis Unit,160602449,building,53.2774667838189,-8.996027897115926
B176,Dockgate,7581131,building,53.270948997568226,-9.05130281832054
B177,Doctor's Surgery,295141976,building,53.26491457876342,-9.116674511238708
B178,Dominican Convent,954339659,building,53.268635747949865,-9.078119774797687
B179,Dunnes Stores,162374751,building,53.27504267637109,-9.051322863762966
B180,Dunnes Stores,957884793,building,53.27291087965953,-9.099405714202394
B181,Dún Aengus,163414620,building,53.26871364819781,-9.051330669267907
B182,Dún Aengus,163414622,building,53.268966431631846,-9.051663774406938
B183,Dún Aengus,163414623,building,53.26863192381462,-9.051001875137809
B184,Dún Aengus,163415045,building,53.26907967627336,-9.051032027448866
B185,EZ Living Furniture,161603129,building,53.28453695845827,-9.044100719850338
