LA,RoadNumber,RoadClass
Cork City Council,L-2453,Local Primary
Cork City Council,L-2454,Local Primary
Cork City Council,L-2455,Local Primary
Cork City Council,L-2456,Local Primary
Cork City Council,L-2458,Local Primary
Cork City Council,L-2460,Local Primary
Cork City Council,L-2461,Local Primary
Cork City Council,L-2462,Local Primary
Cork City Council,L-24621,Local Tertiary
Cork City Council,L-2463,Local Primary
Cork City Council,L-2464,Local Primary
Cork City Council,L-2465,Local Primary
Cork City Council,L-2466,Local Primary
Cork City Council,L-24660,Local Tertiary
Cork City Council,L-2467,Local Primary
Cork City Council,L-2468,Local Primary
Cork City Council,L-2470,Local Primary
Cork City Council,L-2471,Local Primary
Cork City Council,L-2472,Local Primary
Cork City Council,L-2474,Local Primary
Cork City Council,L-2475,Local Primary
Cork City Council,L-24751,Local Tertiary
Cork City Council,L-2489,Local Primary
Cork City Council,L-2501,Local Primary
Cork City Council,L-2502,Local Primary
Cork City Council,L-2503,Local Primary
Cork City Council,L-2504,Local Primary
Cork City Council,L-2505,Local Primary
Cork City Council,L-2506,Local Primary
Cork City Council,L-2507,Local Primary
Cork City Council,L-2508,Local Primary
Cork City Council,L-2509,Local Primary
Cork City Council,L-25090,Local Tertiary
Cork City Council,L-2511,Local Primary
Cork City Council,L-2512,Local Primary
Cork City Council,L-2513,Local Primary
Cork City Council,L-2514,Local Primary
Cork City Council,L-25140,Local Tertiary
Cork City Council,L-2515,Local Primary
Cork City Council,L-2516,Local Primary
Cork City Council,L-2517,Local Primary
Cork City Council,L-2518,Local Primary
Cork City Council,L-2519,Local Primary
Cork City Council,L-2520,Local Primary
Cork City Council,L-2521,Local Primary
Cork City Council,L-2522,Local Primary
Cork City Council,L-2523,Local Primary
Cork City Council,L-2524,Local Primary
Cork City Council,L-2525,Local Primary
Cork City Council,L-2526,Local Primary
Cork City Council,L-2527,Local Primary
Cork City Council,L-2528,Local Primary
Cork City Council,L-2529,Local Primary
Cork City Council,L-2530,Local Primary
Cork City Council,L-2531,Local Primary
Cork City Council,L-2533,Local Primary
Cork City Council,L-2548,Local Primary
Cork City Council,L-2752,Local Primary
Cork City Council,L-2764,Local Primary
Cork City Council,L-27645,Local Tertiary
Cork City Council,L-2773,Local Primary
Cork City Council,L-27731,Local Tertiary
Cork City Council,L-2774,Local Primary
Cork City Council,L-2775,Local Primary
Cork City Council,L-2776,Local Primary
Cork City Council,L-2777,Local Primary
Cork City Council,L-2779,Local Primary
Cork City Council,L-27791,Local Tertiary
Cork City Council,L-2780,Local Primary
Cork City Council,L-2781,Local Primary
Cork City Council,L-2782,Local Primary
Cork City Council,L-2784,Local Primary
Cork City Council,L-2785,Local Primary
Cork City Council,L-2786,Local Primary
Cork City Council,L-2787,Local Primary
Cork City Council,L-2788,Local Primary
Cork City Council,L-27881,Local Tertiary
Cork City Council,L-2789,Local Primary
Cork City Council,L-27891,Local Tertiary
Cork City Council,L-2790,Local Primary
Cork City Council,L-2791,Local Primary
Cork City Council,L-2792,Local Primary
Cork City Council,L-2793,Local Primary
Cork City Council,L-2794,Local Primary
Cork City Council,L-2796,Local Primary
Cork City Council,L-2797,Local Primary
Cork City Council,L-2798,Local Primary
Cork City Council,L-2799,Local Primary
Cork City Council,L-2951,Local Primary
Cork City Council,L-2958,Local Primary
Cork City Council,L-29587,Local Tertiary
Cork City Council,L-2962,Local Primary
Cork City Council,L-2963,Local Primary
Cork City Council,L-2966,Local Primary
Cork City Council,L-2970,Local Primary
Cork City Council,L-2973,Local Primary
Cork City Council,L-2974,Local Primary
Cork City Council,L-2975,Local Primary
Cork City Council,L-2976,Local Primary
Cork City Council,L-2977,Local Primary
Cork City Council,L-2979,Local Primary
Cork City Council,L-29791,Local Tertiary
Cork City Council,L-29792,Local Tertiary
Cork City Council,L-2980,Local Primary
Cork City Council,L-2981,Local Primary
Cork City Council,L-2982,Local Primary
Cork City Council,L-2983,Local Primary
Cork City Council,L-2997,Local Primary
Cork City Council,L-2998,Local Primary
Cork City Council,L-2999,Local Primary
Cork City Council,L-3000,Local Primary
Cork City Council,L-3003,Local Primary
Cork City Council,L-3010,Local Primary
Cork City Council,L-30123,Local Tertiary
Cork City Council,L-5001,Local Secondary
Cork City Council,L-5002,Local Secondary
Cork City Council,L-50021,Local Tertiary
Cork City Council,L-50022,Local Tertiary
Cork City Council,L-50023,Local Tertiary
Cork City Council,L-50026,Local Tertiary
Cork City Council,L-5003,Local Secondary
Cork City Council,L-50032,Local Tertiary
Cork City Council,L-50033,Local Tertiary
Cork City Council,L-50034,Local Tertiary
Cork City Council,L-50035,Local Tertiary
Cork City Council,L-5004,Local Secondary
Cork City Council,L-50041,Local Tertiary
Cork City Council,L-50042,Local Tertiary
Cork City Council,L-50043,Local Tertiary
Cork City Council,L-50044,Local Tertiary
Cork City Council,L-50046,Local Tertiary
Cork City Council,L-50047,Local Tertiary
Cork City Council,L-50048,Local Tertiary
Cork City Council,L-5005,Local Secondary
Cork City Council,L-50051,Local Tertiary
Cork City Council,L-50053,Local Tertiary
Cork City Council,L-50054,Local Tertiary
Cork City Council,L-50057,Local Tertiary
Cork City Council,L-50058,Local Tertiary
Cork City Council,L-5006,Local Secondary
Cork City Council,L-50061,Local Tertiary
Cork City Council,L-50062,Local Tertiary
Cork City Council,L-50063,Local Tertiary
Cork City Council,L-50064,Local Tertiary
Cork City Council,L-50071,Local Tertiary
Cork City Council,L-50072,Local Tertiary
Cork City Council,L-50073,Local Tertiary
Cork City Council,L-50074,Local Tertiary
Cork City Council,L-50075,Local Tertiary
Cork City Council,L-5008,Local Secondary
Cork City Council,L-50081,Local Tertiary
Cork City Council,L-50082,Local Tertiary
Cork City Council,L-50083,Local Tertiary
Cork City Council,L-50084,Local Tertiary
Cork City Council,L-50085,Local Tertiary
Cork City Council,L-50091,Local Tertiary
Cork City Council,L-50092,Local Tertiary
Cork City Council,L-50093,Local Tertiary
Cork City Council,L-50094,Local Tertiary
Cork City Council,L-50095,Local Tertiary
Cork City Council,L-50096,Local Tertiary
Cork City Council,L-50101,Local Tertiary
Cork City Council,L-50103,Local Tertiary
Cork City Council,L-50104,Local Tertiary
Cork City Council,L-50107,Local Tertiary
Cork City Council,L-5011,Local Secondary
Cork City Council,L-50111,Local Tertiary
Cork City Council,L-50113,Local Tertiary
Cork City Council,L-50114,Local Tertiary
Cork City Council,L-50115,Local Tertiary
Cork City Council,L-50121,Local Tertiary
Cork City Council,L-50123,Local Tertiary
Cork City Council,L-50129,Local Tertiary
Cork City Council,L-50131,Local Tertiary
Cork City Council,L-50132,Local Tertiary
Cork City Council,L-50133,Local Tertiary
Cork City Council,L-50134,Local Tertiary
Cork City Council,L-50138,Local Tertiary
Cork City Council,L-5014,Local Secondary
Cork City Council,L-50141,Local Tertiary
Cork City Council,L-50143,Local Tertiary
Cork City Council,L-50144,Local Tertiary
Cork City Council,L-50145,Local Tertiary
Cork City Council,L-50146,Local Tertiary
Cork City Council,L-50147,Local Tertiary
Cork City Council,L-50148,Local Tertiary
Cork City Council,L-50149,Local Tertiary
Cork City Council,L-5015,Local Secondary
Cork City Council,L-50152,Local Tertiary
Cork City Council,L-50154,Local Tertiary
Cork City Council,L-50155,Local Tertiary
Cork City Council,L-50159,Local Tertiary
Cork City Council,L-5016,Local Secondary
Cork City Council,L-50161,Local Tertiary
Cork City Council,L-50165,Local Tertiary
Cork City Council,L-5017,Local Secondary
Cork City Council,L-50173,Local Tertiary
Cork City Council,L-50174,Local Tertiary
Cork City Council,L-50175,Local Tertiary
Cork City Council,L-50176,Local Tertiary
Cork City Council,L-5018,Local Secondary
Cork City Council,L-50181,Local Tertiary
Cork City Council,L-50182,Local Tertiary
Cork City Council,L-50183,Local Tertiary
Cork City Council,L-50185,Local Tertiary
Cork City Council,L-5019,Local Secondary
Cork City Council,L-50191,Local Tertiary
Cork City Council,L-50194,Local Tertiary
Cork City Council,L-50198,Local Tertiary
Cork City Council,L-5020,Local Secondary
Cork City Council,L-50201,Local Tertiary
Cork City Council,L-5021,Local Secondary
Cork City Council,L-50211,Local Tertiary
Cork City Council,L-50212,Local Tertiary
Cork City Council,L-5022,Local Secondary
Cork City Council,L-50221,Local Tertiary
Cork City Council,L-50222,Local Tertiary
Cork City Council,L-5023,Local Secondary
Cork City Council,L-50232,Local Tertiary
Cork City Council,L-50233,Local Tertiary
Cork City Council,L-50234,Local Tertiary
Cork City Council,L-5024,Local Secondary
Cork City Council,L-50241,Local Tertiary
Cork City Council,L-50242,Local Tertiary
Cork City Council,L-50244,Local Tertiary
Cork City Council,L-50245,Local Tertiary
Cork City Council,L-50246,Local Tertiary
Cork City Council,L-50247,Local Tertiary
