LA,RoadNumber,RoadClass
Galway County Council,L-5381,Local Secondary
Galway County Council,L-53811,Local Tertiary
Galway County Council,L-5382,Local Secondary
Galway County Council,L-53821,Local Tertiary
Galway County Council,L-53822,Local Tertiary
Galway County Council,L-5383,Local Secondary
Galway County Council,L-5384,Local Secondary
Galway County Council,L-53841,Local Tertiary
Galway County Council,L-53842,Local Tertiary
Galway County Council,L-53843,Local Tertiary
Galway County Council,L-53844,Local Tertiary
Galway County Council,L-5385,Local Secondary
Galway County Council,L-5386,Local Secondary
Galway County Council,L-53861,Local Tertiary
Galway County Council,L-53862,Local Tertiary
Galway County Council,L-53863,Local Tertiary
Galway County Council,L-53864,Local Tertiary
Galway County Council,L-5387,Local Secondary
Galway County Council,L-53871,Local Tertiary
Galway County Council,L-5388,Local Secondary
Galway County Council,L-5389,Local Secondary
Galway County Council,L-53891,Local Tertiary
Galway County Council,L-53892,Local Tertiary
Galway County Council,L-53893,Local Tertiary
Galway County Council,L-5390,Local Secondary
Galway County Council,L-53901,Local Tertiary
Galway County Council,L-53902,Local Tertiary
Galway County Council,L-5391,Local Secondary
Galway County Council,L-53911,Local Tertiary
Galway County Council,L-53912,Local Tertiary
Galway County Council,L-53913,Local Tertiary
Galway County Council,L-5392,Local Secondary
Galway County Council,L-53921,Local Tertiary
Galway County Council,L-5393,Local Secondary
Galway County Council,L-53931,Local Tertiary
Galway County Council,L-5394,Local Secondary
Galway County Council,L-53941,Local Tertiary
Galway County Council,L-53942,Local Tertiary
Galway County Council,L-53943,Local Tertiary
Galway County Council,L-53944,Local Tertiary
Galway County Council,L-53945,Local Tertiary
Galway County Council,L-53946,Local Tertiary
Galway County Council,L-53947,Local Tertiary
Galway County Council,L-53948,Local Tertiary
Galway County Council,L-53949,Local Tertiary
Galway County Council,L-5395,Local Secondary
Galway County Council,L-53951,Local Tertiary
Galway County Council,L-53952,Local Tertiary
Galway County Council,L-53953,Local Tertiary
Galway County Council,L-53954,Local Tertiary
Galway County Council,L-53955,Local Tertiary
Galway County Council,L-53956,Local Tertiary
Galway County Council,L-53957,Local Tertiary
Galway County Council,L-5396,Local Secondary
Galway County Council,L-53961,Local Tertiary
Galway County Council,L-53962,Local Tertiary
Galway County Council,L-53963,Local Tertiary
Galway County Council,L-53964,Local Tertiary
Galway County Council,L-5397,Local Secondary
Galway County Council,L-5398,Local Secondary
Galway County Council,L-53981,Local Tertiary
Galway County Council,L-53982,Local Tertiary
Galway County Council,L-53983,Local Tertiary
Galway County Council,L-53984,Local Tertiary
Galway County Council,L-53985,Local Tertiary
Galway County Council,L-5399,Local Secondary
Galway County Council,L-53991,Local Tertiary
Galway County Council,L-53992,Local Tertiary
Galway County Council,L-6100,Local Secondary
Galway County Council,L-6101,Local Secondary
Galway County Council,L-61011,Local Tertiary
Galway County Council,L-61012,Local Tertiary
Galway County Council,L-6102,Local Secondary
Galway County Council,L-61021,Local Tertiary
Galway County Council,L-6103,Local Secondary
Galway County Council,L-6104,Local Secondary
Galway County Council,L-61041,Local Tertiary
Galway County Council,L-61042,Local Tertiary
Galway County Council,L-6105,Local Secondary
Galway County Council,L-61051,Local Tertiary
Galway County Council,L-6106,Local Secondary
Galway County Council,L-61061,Local Tertiary
Galway County Council,L-61062,Local Tertiary
Galway County Council,L-6107,Local Secondary
Galway County Council,L-61071,Local Tertiary
Galway County Council,L-6109,Local Secondary
Galway County Council,L-61091,Local Tertiary
Galway County Council,L-61093,Local Tertiary
Galway County Council,L-61094,Local Tertiary
Galway County Council,L-61095,Local Tertiary
Galway County Council,L-61096,Local Tertiary
Galway County Council,L-61097,Local Tertiary
Galway County Council,L-61098,Local Tertiary
Galway County Council,L-6110,Local Secondary
Galway County Council,L-6111,Local Secondary
Galway County Council,L-61111,Local Tertiary
Galway County Council,L-6112,Local Secondary
Galway County Council,L-6113,Local Secondary
Galway County Council,L-61131,Local Tertiary
Galway County Council,L-61132,Local Tertiary
Galway County Council,L-61133,Local Tertiary
Galway County Council,L-6114,Local Secondary
Galway County Council,L-61141,Local Tertiary
Galway County Council,L-6115,Local Secondary
Galway County Council,L-61151,Local Tertiary
Galway County Council,L-61152,Local Tertiary
Galway County Council,L-6116,Local Secondary
Galway County Council,L-6117,Local Secondary
Galway County Council,L-61171,Local Tertiary
Galway County Council,L-61172,Local Tertiary
Galway County Council,L-61173,Local Tertiary
Galway County Council,L-61174,Local Tertiary
Galway County Council,L-61175,Local Tertiary
Galway County Council,L-6118,Local Secondary
Galway County Council,L-6119,Local Secondary
Galway County Council,L-6120,Local Secondary
Galway County Council,L-61201,Local Tertiary
Galway County Council,L-6121,Local Secondary
Galway County Council,L-6122,Local Secondary
Galway County Council,L-6123,Local Secondary
Galway County Council,L-6124,Local Secondary
Galway County Council,L-61241,Local Tertiary
Galway County Council,L-61242,Local Tertiary
Galway County Council,L-61243,Local Tertiary
Galway County Council,L-6125,Local Secondary
Galway County Council,L-6126,Local Secondary
Galway County Council,L-61261,Local Tertiary
Galway County Council,L-6127,Local Secondary
Galway County Council,L-61271,Local Tertiary
Galway County Council,L-61272,Local Tertiary
Galway County Council,L-6128,Local Secondary
Galway County Council,L-61281,Local Tertiary
Galway County Council,L-61282,Local Tertiary
Galway County Council,L-6129,Local Secondary
Galway County Council,L-6130,Local Secondary
Galway County Council,L-61301,Local Tertiary
Galway County Council,L-61302,Local Tertiary
Galway County Council,L-6131,Local Secondary
Galway County Council,L-6132,Local Secondary
Galway County Council,L-61321,Local Tertiary
Galway County Council,L-61322,Local Tertiary
Galway County Council,L-6133,Local Secondary
Galway County Council,L-6134,Local Secondary
Galway County Council,L-61341,Local Tertiary
Galway County Council,L-6135,Local Secondary
Galway County Council,L-61351,Local Tertiary
Galway County Council,L-6136,Local Secondary
Galway County Council,L-61361,Local Tertiary
Galway County Council,L-6137,Local Secondary
Galway County Council,L-6138,Local Secondary
Galway County Council,L-61381,Local Tertiary
Galway County Council,L-61382,Local Tertiary
Galway County Council,L-6139,Local Secondary
Galway County Council,L-61391,Local Tertiary
Galway County Council,L-6140,Local Secondary
Galway County Council,L-61401,Local Tertiary
Galway County Council,L-61402,Local Tertiary
Galway County Council,L-61403,Local Tertiary
Galway County Council,L-6141,Local Secondary
Galway County Council,L-6142,Local Secondary
Galway County Council,L-61421,Local Tertiary
Galway County Council,L-61422,Local Tertiary
Galway County Council,L-6143,Local Secondary
Galway County Council,L-61431,Local Tertiary
Galway County Council,L-6144,Local Secondary
Galway County Council,L-6145,Local Secondary
Galway County Council,L-61451,Local Tertiary
Galway County Council,L-61452,Local Tertiary
Galway County Council,L-6146,Local Secondary
Galway County Council,L-61461,Local Tertiary
Galway County Council,L-6147,Local Secondary
Galway County Council,L-6148,Local Secondary
Galway County Council,L-61481,Local Tertiary
Galway County Council,L-61482,Local Tertiary
Galway County Council,L-6149,Local Secondary
Galway County Council,L-61491,Local Tertiary
Galway County Council,L-61492,Local Tertiary
Galway County Council,L-61493,Local Tertiary
Galway County Council,L-61494,Local Tertiary
Galway County Council,L-61495,Local Tertiary
Galway County Council,L-61496,Local Tertiary
Galway County Council,L-61497,Local Tertiary
Galway County Council,L-6150,Local Secondary
Galway County Council,L-6151,Local Secondary
Galway County Council,L-6152,Local Secondary
Galway County Council,L-61521,Local Tertiary
Galway County Council,L-61522,Local Tertiary
Galway County Council,L-6153,Local Secondary
Galway County Council,L-61531,Local Tertiary
Galway County Council,L-61532,Local Tertiary
Galway County Council,L-6154,Local Secondary
Galway County Council,L-6155,Local Secondary
Galway County Council,L-6156,Local Secondary
Galway County Council,L-61561,Local Tertiary
Galway County Council,L-6157,Local Secondary
Galway County Council,L-6158,Local Secondary
Galway County Council,L-61581,Local Tertiary
Galway County Council,L-6159,Local Secondary
Galway County Council,L-61591,Local Tertiary
Galway County Council,L-6160,Local Secondary
Galway County Council,L-61601,Local Tertiary
Galway County Council,L-61602,Local Tertiary
Galway County Council,L-61603,Local Tertiary
Galway County Council,L-6161,Local Secondary
Galway County Council,L-61611,Local Tertiary
Galway County Council,L-6162,Local Secondary
Galway County Council,L-61621,Local Tertiary
Galway County Council,L-61622,Local Tertiary
Galway County Council,L-61623,Local Tertiary
Galway County Council,L-6163,Local Secondary
Galway County Council,L-6164,Local Secondary
Galway County Council,L-61641,Local Tertiary
Galway County Council,L-6165,Local Secondary
Galway County Council,L-61651,Local Tertiary
Galway County Council,L-61652,Local Tertiary
Galway County Council,L-61653,Local Tertiary
Galway County Council,L-6166,Local Secondary
Galway County Council,L-61661,Local Tertiary
Galway County Council,L-61662,Local Tertiary
Galway County Council,L-61663,Local Tertiary
Galway County Council,L-61664,Local Tertiary
Galway County Council,L-61665,Local Tertiary
Galway County Council,L-61666,Local Tertiary
Galway County Council,L-61667,Local Tertiary
Galway County Council,L-61668,Local Tertiary
Galway County Council,L-61669,Local Tertiary
Galway County Council,L-6167,Local Secondary
Galway County Council,L-61671,Local Tertiary
Galway County Council,L-6168,Local Secondary
Galway County Council,L-61681,Local Tertiary
Galway County Council,L-6169,Local Secondary
Galway County Council,L-6170,Local Secondary
Galway County Council,L-61701,Local Tertiary
Galway County Council,L-61702,Local Tertiary
Galway County Council,L-6171,Local Secondary
Galway County Council,L-61711,Local Tertiary
Galway County Council,L-61712,Local Tertiary
Galway County Council,L-61713,Local Tertiary
Galway County Council,L-6172,Local Secondary
Galway County Council,L-61721,Local Tertiary
Galway County Council,L-61722,Local Tertiary
Galway County Council,L-6173,Local Secondary
Galway County Council,L-6174,Local Secondary
Galway County Council,L-61741,Local Tertiary
Galway County Council,L-6175,Local Secondary
Galway County Council,L-6176,Local Secondary
Galway County Council,L-6177,Local Secondary
Galway County Council,L-61771,Local Tertiary
Galway County Council,L-61772,Local Tertiary
Galway County Council,L-6178,Local Secondary
Galway County Council,L-6179,Local Secondary
Galway County Council,L-61791,Local Tertiary
Galway County Council,L-61792,Local Tertiary
Galway County Council,L-61793,Local Tertiary
Galway County Council,L-61795,Local Tertiary
Galway County Council,L-61796,Local Tertiary
Galway County Council,L-6180,Local Secondary
Galway County Council,L-6181,Local Secondary
Galway County Council,L-6182,Local Secondary
Galway County Council,L-61821,Local Tertiary
Galway County Council,L-6183,Local Secondary
Galway County Council,L-61831,Local Tertiary
Galway County Council,L-61832,Local Tertiary
Galway County Council,L-6184,Local Secondary
Galway County Council,L-6185,Local Secondary
Galway County Council,L-6186,Local Secondary
Galway County Council,L-6187,Local Secondary
Galway County Council,L-6188,Local Secondary
Galway County Council,L-6189,Local Secondary
Galway County Council,L-61891,Local Tertiary
Galway County Council,L-6190,Local Secondary
Galway County Council,L-6191,Local Secondary
Galway County Council,L-61911,Local Tertiary
Galway County Council,L-6192,Local Secondary
Galway County Council,L-6193,Local Secondary
Galway County Council,L-6194,Local Secondary
Galway County Council,L-61941,Local Tertiary
Galway County Council,L-61942,Local Tertiary
Galway County Council,L-6195,Local Secondary
Galway County Council,L-61951,Local Tertiary
Galway County Council,L-61952,Local Tertiary
Galway County Council,L-61953,Local Tertiary
Galway County Council,L-6196,Local Secondary
Galway County Council,L-6197,Local Secondary
Galway County Council,L-61971,Local Tertiary
Galway County Council,L-6198,Local Secondary
Galway County Council,L-61981,Local Tertiary
Galway County Council,L-6199,Local Secondary
Galway County Council,L-6200,Local Secondary
Galway County Council,L-62001,Local Tertiary
Galway County Council,L-62002,Local Tertiary
Galway County Council,L-62003,Local Tertiary
Galway County Council,L-62004,Local Tertiary
Galway County Council,L-62005,Local Tertiary
Galway County Council,L-62006,Local Tertiary
Galway County Council,L-62007,Local Tertiary
Galway County Council,L-62008,Local Tertiary
Galway County Council,L-62009,Local Tertiary
Galway County Council,L-6201,Local Secondary
Galway County Council,L-6202,Local Secondary
Galway County Council,L-6203,Local Secondary
Galway County Council,L-62031,Local Tertiary
Galway County Council,L-62032,Local Tertiary
Galway County Council,L-62033,Local Tertiary
Galway County Council,L-6204,Local Secondary
Galway County Council,L-62041,Local Tertiary
Galway County Council,L-62042,Local Tertiary
Galway County Council,L-6205,Local Secondary
Galway County Council,L-6206,Local Secondary
Galway County Council,L-6207,Local Secondary
Galway County Council,L-62071,Local Tertiary
Galway County Council,L-6208,Local Secondary
Galway County Council,L-62081,Local Tertiary
Galway County Council,L-62082,Local Tertiary
Galway County Council,L-62083,Local Tertiary
Galway County Council,L-62084,Local Tertiary
Galway County Council,L-6209,Local Secondary
Galway County Council,L-62091,Local Tertiary
Galway County Council,L-62092,Local Tertiary
Galway County Council,L-6210,Local Secondary
Galway County Council,L-6211,Local Secondary
Galway County Council,L-6212,Local Secondary
Galway County Council,L-6213,Local Secondary
Galway County Council,L-62131,Local Tertiary
Galway County Council,L-6214,Local Secondary
Galway County Council,L-62141,Local Tertiary
Galway County Council,L-62142,Local Tertiary
Galway County Council,L-6215,Local Secondary
Galway County Council,L-62151,Local Tertiary
Galway County Council,L-6216,Local Secondary
Galway County Council,L-62161,Local Tertiary
Galway County Council,L-62162,Local Tertiary
Galway County Council,L-6217,Local Secondary
Galway County Council,L-62171,Local Tertiary
Galway County Council,L-62172,Local Tertiary
Galway County Council,L-6218,Local Secondary
Galway County Council,L-62181,Local Tertiary
Galway County Council,L-62182,Local Tertiary
Galway County Council,L-62183,Local Tertiary
Galway County Council,L-62184,Local Tertiary
Galway County Council,L-62185,Local Tertiary
Galway County Council,L-6219,Local Secondary
Galway County Council,L-6220,Local Secondary
Galway County Council,L-6221,Local Secondary
Galway County Council,L-62211,Local Tertiary
Galway County Council,L-6222,Local Secondary
Galway County Council,L-62221,Local Tertiary
Galway County Council,L-6223,Local Secondary
Galway County Council,L-6224,Local Secondary
Galway County Council,L-62241,Local Tertiary
Galway County Council,L-6225,Local Secondary
Galway County Council,L-62251,Local Tertiary
Galway County Council,L-6226,Local Secondary
Galway County Council,L-62261,Local Tertiary
Galway County Council,L-62262,Local Tertiary
Galway County Council,L-6227,Local Secondary
Galway County Council,L-62270,Local Tertiary
Galway County Council,L-62271,Local Tertiary
Galway County Council,L-62272,Local Tertiary
Galway County Council,L-62273,Local Tertiary
Galway County Council,L-6228,Local Secondary
Galway County Council,L-62281,Local Tertiary
Galway County Council,L-62282,Local Tertiary
Galway County Council,L-62283,Local Tertiary
Galway County Council,L-62284,Local Tertiary
Galway County Council,L-62285,Local Tertiary
Galway County Council,L-6229,Local Secondary
Galway County Council,L-62291,Local Tertiary
Galway County Council,L-6230,Local Secondary
Galway County Council,L-62301,Local Tertiary
Galway County Council,L-6231,Local Secondary
Galway County Council,L-62311,Local Tertiary
Galway County Council,L-62312,Local Tertiary
Galway County Council,L-6232,Local Secondary
Galway County Council,L-62321,Local Tertiary
Galway County Council,L-6233,Local Secondary
Galway County Council,L-62331,Local Tertiary
Galway County Council,L-62332,Local Tertiary
Galway County Council,L-6234,Local Secondary
Galway County Council,L-6235,Local Secondary
Galway County Council,L-62351,Local Tertiary
Galway County Council,L-6236,Local Secondary
Galway County Council,L-62361,Local Tertiary
Galway County Council,L-62362,Local Tertiary
Galway County Council,L-6237,Local Secondary
Galway County Council,L-6238,Local Secondary
Galway County Council,L-6239,Local Secondary
Galway County Council,L-6240,Local Secondary
Galway County Council,L-6241,Local Secondary
Galway County Council,L-6301,Local Secondary
Galway County Council,L-63011,Local Tertiary
Galway County Council,L-63012,Local Tertiary
Galway County Council,L-6302,Local Secondary
Galway County Council,L-63021,Local Tertiary
Galway County Council,L-63022,Local Tertiary
Galway County Council,L-63023,Local Tertiary
Galway County Council,L-63024,Local Tertiary
Galway County Council,L-6303,Local Secondary
Galway County Council,L-6304,Local Secondary
Galway County Council,L-63041,Local Tertiary
Galway County Council,L-63042,Local Tertiary
Galway County Council,L-63043,Local Tertiary
Galway County Council,L-6305,Local Secondary
Galway County Council,L-63051,Local Tertiary
Galway County Council,L-6306,Local Secondary
Galway County Council,L-63061,Local Tertiary
Galway County Council,L-6307,Local Secondary
Galway County Council,L-63071,Local Tertiary
Galway County Council,L-63072,Local Tertiary
Galway County Council,L-63073,Local Tertiary
Galway County Council,L-6308,Local Secondary
Galway County Council,L-63081,Local Tertiary
Galway County Council,L-63082,Local Tertiary
Galway County Council,L-6309,Local Secondary
Galway County Council,L-6310,Local Secondary
Galway County Council,L-6311,Local Secondary
Galway County Council,L-6312,Local Secondary
Galway County Council,L-63121,Local Tertiary
Galway County Council,L-63122,Local Tertiary
Galway County Council,L-63123,Local Tertiary
Galway County Council,L-63124,Local Tertiary
Galway County Council,L-6313,Local Secondary
Galway County Council,L-63131,Local Tertiary
Galway County Council,L-6314,Local Secondary
Galway County Council,L-6315,Local Secondary
Galway County Council,L-6316,Local Secondary
Galway County Council,L-63161,Local Tertiary
Galway County Council,L-6317,Local Secondary
Galway County Council,L-63171,Local Tertiary
Galway County Council,L-63172,Local Tertiary
Galway County Council,L-6318,Local Secondary
Galway County Council,L-63181,Local Tertiary
Galway County Council,L-6319,Local Secondary
Galway County Council,L-6320,Local Secondary
Galway County Council,L-6321,Local Secondary
Galway County Council,L-6322,Local Secondary
Galway County Council,L-63221,Local Tertiary
Galway County Council,L-63222,Local Tertiary
Galway County Council,L-63223,Local Tertiary
Galway County Council,L-63224,Local Tertiary
Galway County Council,L-63225,Local Tertiary
Galway County Council,L-63226,Local Tertiary
Galway County Council,L-63227,Local Tertiary
Galway County Council,L-6323,Local Secondary
Galway County Council,L-63231,Local Tertiary
Galway County Council,L-63232,Local Tertiary
Galway County Council,L-63233,Local Tertiary
Galway County Council,L-6324,Local Secondary
Galway County Council,L-63241,Local Tertiary
Galway County Council,L-63242,Local Tertiary
Galway County Council,L-6325,Local Secondary
Galway County Council,L-6326,Local Secondary
Galway County Council,L-6327,Local Secondary
Galway County Council,L-6328,Local Secondary
Galway County Council,L-63281,Local Tertiary
Galway County Council,L-63282,Local Tertiary
Galway County Council,L-6329,Local Secondary
Galway County Council,L-63291,Local Tertiary
Galway County Council,L-63292,Local Tertiary
Galway County Council,L-63293,Local Tertiary
Galway County Council,L-6330,Local Secondary
Galway County Council,L-63301,Local Tertiary
Galway County Council,L-6331,Local Secondary
Galway County Council,L-63311,Local Tertiary
Galway County Council,L-6332,Local Secondary
Galway County Council,L-63321,Local Tertiary
Galway County Council,L-6333,Local Secondary
Galway County Council,L-63331,Local Tertiary
Galway County Council,L-6334,Local Secondary
Galway County Council,L-6335,Local Secondary
Galway County Council,L-63351,Local Tertiary
Galway County Council,L-63352,Local Tertiary
Galway County Council,L-6336,Local Secondary
Galway County Council,L-63361,Local Tertiary
Galway County Council,L-6337,Local Secondary
Galway County Council,L-6338,Local Secondary
Galway County Council,L-6339,Local Secondary
Galway County Council,L-6340,Local Secondary
Galway County Council,L-6341,Local Secondary
Galway County Council,L-6342,Local Secondary
Galway County Council,L-63421,Local Tertiary
Galway County Council,L-63422,Local Tertiary
Galway County Council,L-6343,Local Secondary
Galway County Council,L-6344,Local Secondary
Galway County Council,L-6345,Local Secondary
Galway County Council,L-6346,Local Secondary
Galway County Council,L-63461,Local Tertiary
Galway County Council,L-6347,Local Secondary
Galway County Council,L-6348,Local Secondary
Galway County Council,L-63481,Local Tertiary
Galway County Council,L-63482,Local Tertiary
Galway County Council,L-63483,Local Tertiary
Galway County Council,L-63484,Local Tertiary
Galway County Council,L-63485,Local Tertiary
Galway County Council,L-6349,Local Secondary
Galway County Council,L-63491,Local Tertiary
Galway County Council,L-6350,Local Secondary
Galway County Council,L-6351,Local Secondary
Galway County Council,L-63511,Local Tertiary
Galway County Council,L-63512,Local Tertiary
Galway County Council,L-6352,Local Secondary
Galway County Council,L-6353,Local Secondary
Galway County Council,L-6354,Local Secondary
Galway County Council,L-63541,Local Tertiary
Galway County Council,L-6355,Local Secondary
Galway County Council,L-6356,Local Secondary
Galway County Council,L-63561,Local Tertiary
Galway County Council,L-63562,Local Tertiary
Galway County Council,L-6357,Local Secondary
Galway County Council,L-63571,Local Tertiary
Galway County Council,L-6358,Local Secondary
Galway County Council,L-6359,Local Secondary
Galway County Council,L-63591,Local Tertiary
Galway County Council,L-63592,Local Tertiary
Galway County Council,L-6360,Local Secondary
Galway County Council,L-6361,Local Secondary
Galway County Council,L-63611,Local Tertiary
Galway County Council,L-63612,Local Tertiary
Galway County Council,L-63613,Local Tertiary
Galway County Council,L-6362,Local Secondary
Galway County Council,L-63621,Local Tertiary
Galway County Council,L-63622,Local Tertiary
Galway County Council,L-6363,Local Secondary
Galway County Council,L-63631,Local Tertiary
Galway County Council,L-63632,Local Tertiary
Galway County Council,L-63633,Local Tertiary
Galway County Council,L-6364,Local Secondary
Galway County Council,L-6365,Local Secondary
Galway County Council,L-6366,Local Secondary
Galway County Council,L-6367,Local Secondary
Galway County Council,L-63671,Local Tertiary
Galway County Council,L-6368,Local Secondary
Galway County Council,L-63681,Local Tertiary
Galway County Council,L-6369,Local Secondary
Galway County Council,L-6370,Local Secondary
Galway County Council,L-6371,Local Secondary
Galway County Council,L-63711,Local Tertiary
Galway County Council,L-63712,Local Tertiary
Galway County Council,L-63713,Local Tertiary
Galway County Council,L-6372,Local Secondary
Galway County Council,L-63721,Local Tertiary
Galway County Council,L-6373,Local Secondary
Galway County Council,L-6374,Local Secondary
Galway County Council,L-6375,Local Secondary
Galway County Council,L-6376,Local Secondary
Galway County Council,L-6377,Local Secondary
Galway County Council,L-6378,Local Secondary
Galway County Council,L-6379,Local Secondary
Galway County Council,L-63791,Local Tertiary
Galway County Council,L-63792,Local Tertiary
Galway County Council,L-63793,Local Tertiary
Galway County Council,L-63794,Local Tertiary
Galway County Council,L-6380,Local Secondary
Galway County Council,L-63801,Local Tertiary
Galway County Council,L-63802,Local Tertiary
Galway County Council,L-63803,Local Tertiary
Galway County Council,L-6381,Local Secondary
Galway County Council,L-63811,Local Tertiary
Galway County Council,L-63812,Local Tertiary
Galway County Council,L-6384,Local Secondary
Galway County Council,L-63841,Local Tertiary
Galway County Council,L-63842,Local Tertiary
Galway County Council,L-63843,Local Tertiary
Galway County Council,L-63844,Local Tertiary
Galway County Council,L-63861,Local Tertiary
Galway County Council,L-63862,Local Tertiary
Galway County Council,L-63863,Local Tertiary
Galway County Council,L-6401,Local Secondary
Galway County Council,L-64011,Local Tertiary
Galway County Council,L-64012,Local Tertiary
Galway County Council,L-6402,Local Secondary
Galway County Council,L-6403,Local Secondary
Galway County Council,L-64031,Local Tertiary
Galway County Council,L-6404,Local Secondary
Galway County Council,L-64041,Local Tertiary
Galway County Council,L-6405,Local Secondary
Galway County Council,L-64051,Local Tertiary
Galway County Council,L-6406,Local Secondary
Galway County Council,L-64061,Local Tertiary
Galway County Council,L-64062,Local Tertiary
Galway County Council,L-6407,Local Secondary
Galway County Council,L-6408,Local Secondary
Galway County Council,L-64081,Local Tertiary
Galway County Council,L-64082,Local Tertiary
Galway County Council,L-6409,Local Secondary
Galway County Council,L-64091,Local Tertiary
Galway County Council,L-64092,Local Tertiary
Galway County Council,L-64093,Local Tertiary
Galway County Council,L-64094,Local Tertiary
Galway County Council,L-64095,Local Tertiary
Galway County Council,L-6410,Local Secondary
Galway County Council,L-64101,Local Tertiary
Galway County Council,L-64103,Local Tertiary
Galway County Council,L-64104,Local Tertiary
Galway County Council,L-6411,Local Secondary
Galway County Council,L-6412,Local Secondary
Galway County Council,L-64121,Local Tertiary
Galway County Council,L-64122,Local Tertiary
Galway County Council,L-64123,Local Tertiary
Galway County Council,L-64124,Local Tertiary
Galway County Council,L-6413,Local Secondary
Galway County Council,L-64131,Local Tertiary
Galway County Council,L-6414,Local Secondary
Galway County Council,L-64141,Local Tertiary
Galway County Council,L-64142,Local Tertiary
Galway County Council,L-64143,Local Tertiary
Galway County Council,L-64144,Local Tertiary
Galway County Council,L-64145,Local Tertiary
Galway County Council,L-6415,Local Secondary
Galway County Council,L-6416,Local Secondary
Galway County Council,L-64161,Local Tertiary
Galway County Council,L-6417,Local Secondary
Galway County Council,L-6418,Local Secondary
Galway County Council,L-64181,Local Tertiary
Galway County Council,L-64182,Local Tertiary
Galway County Council,L-6419,Local Secondary
Galway County Council,L-64191,Local Tertiary
Galway County Council,L-64192,Local Tertiary
Galway County Council,L-6420,Local Secondary
Galway County Council,L-64201,Local Tertiary
Galway County Council,L-64202,Local Tertiary
Galway County Council,L-64203,Local Tertiary
Galway County Council,L-64204,Local Tertiary
Galway County Council,L-6421,Local Secondary
Galway County Council,L-64211,Local Tertiary
Galway County Council,L-64212,Local Tertiary
Galway County Council,L-6422,Local Secondary
Galway County Council,L-64221,Local Tertiary
Galway County Council,L-64223,Local Tertiary
Galway County Council,L-6423,Local Secondary
Galway County Council,L-64231,Local Tertiary
Galway County Council,L-6424,Local Secondary
Galway County Council,L-64241,Local Tertiary
Galway County Council,L-6425,Local Secondary
Galway County Council,L-64251,Local Tertiary
Galway County Council,L-64252,Local Tertiary
Galway County Council,L-64253,Local Tertiary
Galway County Council,L-64254,Local Tertiary
Galway County Council,L-64255,Local Tertiary
Galway County Council,L-64257,Local Tertiary
Galway County Council,L-6426,Local Secondary
Galway County Council,L-64261,Local Tertiary
Galway County Council,L-64262,Local Tertiary
Galway County Council,L-64263,Local Tertiary
Galway County Council,L-64264,Local Tertiary
Galway County Council,L-64265,Local Tertiary
Galway County Council,L-64266,Local Tertiary
Galway County Council,L-64267,Local Tertiary
Galway County Council,L-6427,Local Secondary
Galway County Council,L-6428,Local Secondary
Galway County Council,L-64281,Local Tertiary
Galway County Council,L-6429,Local Secondary
Galway County Council,L-6430,Local Secondary
Galway County Council,L-6431,Local Secondary
Galway County Council,L-6432,Local Secondary
Galway County Council,L-64321,Local Tertiary
Galway County Council,L-64322,Local Tertiary
Galway County Council,L-64323,Local Tertiary
Galway County Council,L-6433,Local Secondary
Galway County Council,L-6434,Local Secondary
Galway County Council,L-64341,Local Tertiary
Galway County Council,L-6435,Local Secondary
Galway County Council,L-64351,Local Tertiary
Galway County Council,L-64352,Local Tertiary
Galway County Council,L-64353,Local Tertiary
Galway County Council,L-64354,Local Tertiary
Galway County Council,L-64355,Local Tertiary
Galway County Council,L-64356,Local Tertiary
Galway County Council,L-64357,Local Tertiary
Galway County Council,L-6436,Local Secondary
Galway County Council,L-64361,Local Tertiary
Galway County Council,L-6437,Local Secondary
Galway County Council,L-64371,Local Tertiary
Galway County Council,L-64372,Local Tertiary
Galway County Council,L-64373,Local Tertiary
Galway County Council,L-64374,Local Tertiary
Galway County Council,L-64375,Local Tertiary
Galway County Council,L-64376,Local Tertiary
Galway County Council,L-64377,Local Tertiary
Galway County Council,L-64378,Local Tertiary
Galway County Council,L-64379,Local Tertiary
Galway County Council,L-6438,Local Secondary
Galway County Council,L-64381,Local Tertiary
Galway County Council,L-64382,Local Tertiary
Galway County Council,L-64383,Local Tertiary
Galway County Council,L-64384,Local Tertiary
Galway County Council,L-6439,Local Secondary
Galway County Council,L-64391,Local Tertiary
Galway County Council,L-64392,Local Tertiary
Galway County Council,L-6440,Local Secondary
Galway County Council,L-64401,Local Tertiary
Galway County Council,L-64402,Local Tertiary
Galway County Council,L-64403,Local Tertiary
Galway County Council,L-64404,Local Tertiary
Galway County Council,L-64405,Local Tertiary
Galway County Council,L-64406,Local Tertiary
Galway County Council,L-64407,Local Tertiary
Galway County Council,L-6441,Local Secondary
Galway County Council,L-64411,Local Tertiary
Galway County Council,L-6442,Local Secondary
Galway County Council,L-64421,Local Tertiary
Galway County Council,L-6443,Local Secondary
Galway County Council,L-64431,Local Tertiary
Galway County Council,L-6444,Local Secondary
Galway County Council,L-6445,Local Secondary
Galway County Council,L-64452,Local Tertiary
Galway County Council,L-6446,Local Secondary
Galway County Council,L-6447,Local Secondary
Galway County Council,L-64471,Local Tertiary
Galway County Council,L-6448,Local Secondary
Galway County Council,L-64481,Local Tertiary
Galway County Council,L-6449,Local Secondary
Galway County Council,L-6450,Local Secondary
