Station Name: GALWAY (Univ.Coll.)
Station Height: 14 M 
Latitude:53.276  ,Longitude: -9.064


year:  -  Year
month: -  Month
rain:  -  Precipitation Amount (mm)
gdf:   -  Greatest daily fall (mm)
rd:    -  Number of rain days (0.2mm or more)
wd:    -  Number of wet days (1.0 mm or more)	
ind:   -  Indicator

year,month,ind,rain,gdf,rd,wd
2000,4,0,67.8,12.0,20,16
2000,5,0,54.0,15.1,17,13
2000,6,0,60.5,12.2,18,12
2000,7,0,67.5,19.9,16,12
2000,8,0,93.8,25.7,22,17
2000,9,0,140.0,29.0,25,19
2000,10,0,213.6,30.6,28,25
2000,11,0,165.5,33.0,29,24
2000,12,0,136.1,19.4,24,21
2001,1,0,59.4,7.5,18,12
2001,2,0,63.9,14.6,14,12
2001,3,0,89.2,14.3,17,16
2001,4,0,90.1,11.5,18,18
2001,5,0,41.2,13.5,9,8
2001,6,0,80.8,13.4,14,14
2001,7,0,95.8,19.4,16,12
2001,8,1,101.7,15.1,19,18
2001,9,0,85.2,37.6,14,9
2001,10,0,122.8,19.2,25,19
2001,11,0,103.6,23.9,22,19
2001,12,0,64.9,22.2,12,8
2002,1,0,171.7, , , 
2002,2,0,233.5,22.5,26,24
2002,3,0,97.2,24.5,20,13
2002,4,0,89.3,15.0,21,17
2002,5,0,140.1,18.1,23,20
2002,6,0,119.2,14.3,26,22
2002,7,0,74.3,15.5,25,16
2002,8,0,99.2,25.8,20,14
2002,9,0,47.2,9.5,9,9
2002,10,0,186.4,40.9,21,19
2002,11,0,211.0,24.1,27,23
2002,12,0,117.4,27.3,18,14
2003,1,0,86.3,15.3,20,15
2003,2,0,50.2,8.5,15,13
2003,3,0,78.1,15.5,15,12
2003,4,0,62.9,14.1,13,11
2003,5,1,133.4,21.1,25,23
2003,6,0,94.6,17.5,17,14
2003,7,0,156.7,38.8,23,21
2003,8,0,24.6,10.0,14,6
2003,9,0,63.6,14.2,20,13
2003,10,0,53.1,18.3,13,8
2003,11,0,167.6,21.4,25,23
2003,12,0,102.3,17.1,20,14
2004,1,0,128.3,29.6,27,19
2004,2,0,45.2,16.4,13,9
2004,3,0,92.7,13.6,18,14
2004,4,0,82.9,17.1,19,16
2004,5,0,38.1,18.3,8,7
2004,6,0,102.3,50.2,20,15
2004,7,0,70.7,14.2,19,11
2004,8,0,69.0,14.0,19,13
2004,9,0,157.5,28.6,23,20
2004,10,0,182.5,29.2,23,18
2004,11,0,92.5,13.7,18,13
2004,12,0,132.6,18.3,28,23
2005,1,0,172.5,29.8,24,21
2005,2,0,75.3,26.1,18,10
2005,3,0,72.0,17.6,19,13
2005,4,0,102.7,13.5,24,19
2005,5,0,128.1,27.0,11,10
2005,6,0,92.3,16.7,14,11
2005,7,0,46.6,9.7,14,10
2005,8,0,110.1,24.5,20,15
2005,9,0,95.7,14.8,18,17
2005,10,0,144.0,41.6,18,17
2005,11,0,104.1,18.5,20,16
2005,12,0,101.5,14.8,19,16
2006,1,0,75.3,13.6,15,10
2006,2,0,52.2,12.8,12,9
2006,3,0,133.5,19.2,18,16
2006,4,0,58.1,13.1,18,14
2006,5,0,136.4,22.7,22,18
2006,6,0,42.2,15.5,12,8
2006,7,0,62.9,15.1,14,11
2006,8,0,62.7,16.7,15,13
2006,9,0,232.8,30.8,23,20
2006,10,0,148.2,49.7,19,18
2006,11,0,149.3,20.5,22,22
2006,12,0,219.2,33.5,23,22
2007,1,0,160.3,23.2,26,20
2007,2,0,111.5,22.0,21,18
2007,3,0,90.2,20.4,19,15
2007,4,0,24.8,9.1,5,4
2007,5,0,93.8,12.4,21,17
2007,6,0,128.3,35.6,18,14
2007,7,0,162.3,55.9,25,23
2007,8,0,101.0,19.2,19,16
2007,9,0,62.5,16.5,15,11
2007,10,0,83.5,22.0,19,9
2007,11,0,97.6,22.2,21,14
2007,12,0,198.6,32.2,21,18
2008,1,0,193.5,15.4,25,22
2008,2,0,123.3,26.5,19,17
2008,3,0,140.6,18.9,25,21
2008,4,0,53.0,9.5,20,13
2008,5,0,21.6,5.0,9,7
2008,6,0,194.7,29.6,20,19
2008,7,0,84.2,29.6,17,12
2008,8,0,240.2,36.4,27,26
2008,9,0,136.7,23.0,16,16
2008,10,0,257.6,63.3,27,23
2008,11,0,114.4,20.2,21,17
2008,12,0,102.8,22.0,20,15
2009,1,0,133.6,15.2,20,20
2009,2,0,24.3,4.0,16,9
2009,3,0,76.1,11.5,17,16
2009,4,0,106.3,15.1,21,18
2009,5,0,127.7,18.2,21,20
2009,6,1,49.2,21.1,11,9
2009,7,0,161.1,23.7,26,24
2009,8,0,215.7,28.9,27,26
2009,9,0,63.9,20.0,16,13
2009,10,0,113.4,18.3,21,17
2009,11,0,329.4,60.8,27,26
2009,12,0,114.9,19.9,17,16
2010,1,0,40.0,8.4,18,10
2010,2,0,42.0,15.2,13,8
2010,3,0,84.3,33.8,16,10
2010,4,0,96.4,28.1,13,11
2010,5,0,44.2,10.2,16,9
2010,6,0,52.6,15.4,14,12
2010,7,0,125.6,15.6,24,19
2010,8,0,57.4,6.5,20,14
2010,9,0,165.0,37.6,21,18
2010,10,0,102.0,18.8,19,15
2010,11,0,179.2,25.3,22,19
2010,12,0,42.5,14.1,15,7
2011,1,0,102.2,24.6,17,13
2011,2,0,146.6,26.7,26,19
2011,3,0,63.2,18.7,16,9
2011,4,0,72.7,21.5,16,11
2011,5,0,131.6,19.8,29,23
2011,6,0,107.3,37.4,22,17
2011,7,0,69.0,25.8,14,9
2011,8,0,118.3,26.7,20,17
2011,9,0,135.5,20.1,28,25
2011,10,0,195.6,24.6,29,26
2011,11,0,154.2,37.4,22,18
2011,12,0,196.5,18.3,29,26
