LA,RoadNumber,RoadClass
Fingal County Council,R-843,Regional
Galway City Council,R-336,Regional
Galway City Council,R-337,Regional
Galway City Council,R-338,Regional
Galway City Council,R-339,Regional
Galway City Council,R-446,Regional
Galway City Council,R-863,Regional
Galway City Council,R-864,Regional
Galway City Council,R-865,Regional
Galway City Council,R-866,Regional
Galway City Council,R-921,Regional
Galway County Council,R-300,Regional
Galway County Council,R-327,Regional
Galway County Council,R-328,Regional
Galway County Council,R-332,Regional
Galway County Council,R-333,Regional
Galway County Council,R-334,Regional
Galway County Council,R-336,Regional
Galway County Council,R-338,Regional
Galway County Council,R-339,Regional
Galway County Council,R-340,Regional
Galway County Council,R-341,Regional
Galway County Council,R-342,Regional
Galway County Council,R-343,Regional
Galway County Council,R-344,Regional
Galway County Council,R-345,Regional
Galway County Council,R-347,Regional
Galway County Council,R-348,Regional
Galway County Council,R-349,Regional
Galway County Council,R-350,Regional
Galway County Council,R-351,Regional
Galway County Council,R-352,Regional
Galway County Council,R-353,Regional
Galway County Council,R-354,Regional
Galway County Council,R-355,Regional
Galway County Council,R-356,Regional
Galway County Council,R-357,Regional
Galway County Council,R-358,Regional
Galway County Council,R-359,Regional
Galway County Council,R-360,Regional
Galway County Council,R-361,Regional
Galway County Council,R-362,Regional
Galway County Council,R-363,Regional
Galway County Council,R-364,Regional
Galway County Council,R-365,Regional
Galway County Council,R-372,Regional
Galway County Council,R-374,Regional
Galway County Council,R-379,Regional
Galway County Council,R-380,Regional
Galway County Council,R-381,Regional
Galway County Council,R-446,Regional
Galway County Council,R-458,Regional
Galway County Council,R-460,Regional
Galway County Council,R-461,Regional
Galway County Council,R-462,Regional
Galway County Council,R-904,Regional
Galway County Council,R-923,Regional
Galway County Council,R-939,Regional
Galway County Council,R-942,Regional
Kildare County Council,R-125,Regional
Kildare County Council,R-148,Regional
Kildare County Council,R-149,Regional
Kildare County Council,R-157,Regional
Kildare County Council,R-158,Regional
Kildare County Council,R-160,Regional
Kildare County Council,R-401,Regional
Kildare County Council,R-402,Regional
Kildare County Council,R-403,Regional
Kildare County Council,R-404,Regional
Kildare County Council,R-405,Regional
Kildare County Council,R-406,Regional
Kildare County Council,R-407,Regional
Kildare County Council,R-408,Regional
Kildare County Council,R-409,Regional
Kildare County Council,R-410,Regional
Kildare County Council,R-411,Regional
Kildare County Council,R-412,Regional
Kildare County Council,R-413,Regional
Kildare County Council,R-414,Regional
Kildare County Council,R-415,Regional
Kildare County Council,R-416,Regional
Kildare County Council,R-417,Regional
Kildare County Council,R-418,Regional
Kildare County Council,R-419,Regional
Kildare County Council,R-424,Regional
Kildare County Council,R-427,Regional
Kildare County Council,R-428,Regional
Kildare County Council,R-429,Regional
Kildare County Council,R-445,Regional
Kildare County Council,R-448,Regional
Kildare County Council,R-449,Regional
Kildare County Council,R-747,Regional
Kilkenny County Council,R-426,Regional
Kilkenny County Council,R-432,Regional
Kilkenny County Council,R-435,Regional
Kilkenny County Council,R-448,Regional
Kilkenny County Council,R-502,Regional
Kilkenny County Council,R-639,Regional
Kilkenny County Council,R-689,Regional
Kilkenny County Council,R-691,Regional
Kilkenny County Council,R-692,Regional
Kilkenny County Council,R-693,Regional
Kilkenny County Council,R-694,Regional
Kilkenny County Council,R-695,Regional
Kilkenny County Council,R-697,Regional
Kilkenny County Council,R-698,Regional
Kilkenny County Council,R-699,Regional
Kilkenny County Council,R-700,Regional
Kilkenny County Council,R-701,Regional
Kilkenny County Council,R-702,Regional
Kilkenny County Council,R-703,Regional
Kilkenny County Council,R-704,Regional
Kilkenny County Council,R-705,Regional
Kilkenny County Council,R-711,Regional
Kilkenny County Council,R-712,Regional
Kilkenny County Council,R-713,Regional
Kilkenny County Council,R-723,Regional
Kilkenny County Council,R-861,Regional
Kilkenny County Council,R-886,Regional
Kilkenny County Council,R-887,Regional
Kilkenny County Council,R-909,Regional
Kilkenny County Council,R-910,Regional
Kilkenny County Council,R-912,Regional
Kerry County Council,R-523,Regional
Kerry County Council,R-549,Regional
Kerry County Council,R-550,Regional
Kerry County Council,R-551,Regional
Kerry County Council,R-552,Regional
Kerry County Council,R-553,Regional
Kerry County Council,R-554,Regional
Kerry County Council,R-555,Regional
Kerry County Council,R-556,Regional
Kerry County Council,R-557,Regional
Kerry County Council,R-558,Regional
Kerry County Council,R-559,Regional
Kerry County Council,R-560,Regional
Kerry County Council,R-561,Regional
Kerry County Council,R-563,Regional
Kerry County Council,R-564,Regional
Kerry County Council,R-565,Regional
Kerry County Council,R-566,Regional
Kerry County Council,R-567,Regional
Kerry County Council,R-568,Regional
Kerry County Council,R-569,Regional
Kerry County Council,R-570,Regional
Kerry County Council,R-571,Regional
Kerry County Council,R-573,Regional
Kerry County Council,R-574,Regional
Kerry County Council,R-576,Regional
Kerry County Council,R-577,Regional
Kerry County Council,R-582,Regional
Kerry County Council,R-874,Regional
Kerry County Council,R-875,Regional
Kerry County Council,R-876,Regional
Kerry County Council,R-877,Regional
Kerry County Council,R-878,Regional
Kerry County Council,R-919,Regional
Longford County Council,R-194,Regional
Longford County Council,R-198,Regional
Longford County Council,R-371,Regional
Longford County Council,R-392,Regional
Longford County Council,R-393,Regional
Longford County Council,R-395,Regional
Longford County Council,R-396,Regional
Longford County Council,R-397,Regional
Longford County Council,R-398,Regional
Longford County Council,R-399,Regional
Louth County Council,R-108,Regional
Louth County Council,R-132,Regional
Louth County Council,R-150,Regional
Louth County Council,R-152,Regional
Louth County Council,R-165,Regional
Louth County Council,R-166,Regional
Louth County Council,R-167,Regional
Louth County Council,R-168,Regional
Louth County Council,R-169,Regional
Louth County Council,R-170,Regional
Louth County Council,R-171,Regional
