,route_long_name,g_trip_headsign,route_id,route_short_name,direction_id,variation_route_id,first_stop_id,last_stop_id,first_stop_name,last_stop_name,num_stops
BR82,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5232801,Scoil Éinde Boys NS,Monivea Road,38
BR83,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B555431,Scoil Éinde Boys NS,Parkmore Road,38
BR84,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5234301,Scoil Éinde Boys NS,Ballybrit Crescent,38
BR85,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5233801,Scoil Éinde Boys NS,Ballybrit Industrial Estate,38
BR86,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5234201,Scoil Éinde Boys NS,Ballybrit Crescent,38
BR87,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5233201,Scoil Éinde Boys NS,Walter Macken Road,38
BR88,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5203201,Scoil Éinde Boys NS,Monivea Road,38
BR89,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5304201,Scoil Éinde Boys NS,An Luasán,38
BR90,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5332901,Scoil Éinde Boys NS,McDermott Avenue,38
BR91,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5222601,Scoil Éinde Boys NS,St Mary's Avenue,38
BR92,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5233501,Scoil Éinde Boys NS,Gortcam,38
BR93,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5233401,Scoil Éinde Boys NS,Béal Srutha,38
BR94,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5233901,Scoil Éinde Boys NS,Ballybrit Heights,38
BR95,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5232501,Scoil Éinde Boys NS,Loyola Park,38
BR96,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5332601,Scoil Éinde Boys NS,Galway Comm College,38
BR97,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5232401,Scoil Éinde Boys NS,Connacht Rugby,38
BR98,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5232701,Scoil Éinde Boys NS,Well Park Estate,38
BR99,Eyre Square - Salthill,Parkmore Ind.,401,401,1,4023_65528,8460B522301,8460B5233101,Scoil Éinde Boys NS,Ballybane Centre,38
